2022/06/01 03:31:29 [error] 7196#7196: *29664 open() "/var/www/html/_phpmyadmin_/index.php" failed (2: No such file or directory), client: 109.8.208.5, server: localhost-nginx-proxy-manager, request: "GET /_phpmyadmin_/index.php?lang=en HTTP/1.1", host: "186.104.67.127"
2022/06/01 03:31:29 [error] 7196#7196: *29664 open() "/var/www/html/sql/sqladmin/index.php" failed (2: No such file or directory), client: 109.8.208.5, server: localhost-nginx-proxy-manager, request: "GET /sql/sqladmin/index.php?lang=en HTTP/1.1", host: "186.104.67.127"
2022/06/01 03:31:30 [error] 7196#7196: *29664 open() "/var/www/html/sql/phpMyAdmin/index.php" failed (2: No such file or directory), client: 109.8.208.5, server: localhost-nginx-proxy-manager, request: "GET /sql/phpMyAdmin/index.php?lang=en HTTP/1.1", host: "186.104.67.127"
2022/06/01 03:31:30 [error] 7196#7196: *29664 open() "/var/www/html/administrator/PMA/index.php" failed (2: No such file or directory), client: 109.8.208.5, server: localhost-nginx-proxy-manager, request: "GET /administrator/PMA/index.php?lang=en HTTP/1.1", host: "186.104.67.127"
2022/06/01 03:31:30 [error] 7196#7196: *29664 open() "/var/www/html/phpMyadmin/index.php" failed (2: No such file or directory), client: 109.8.208.5, server: localhost-nginx-proxy-manager, request: "GET /phpMyadmin/index.php?lang=en HTTP/1.1", host: "186.104.67.127"
2022/06/01 03:31:30 [error] 7196#7196: *29664 open() "/var/www/html/phpMyAdmin/index.php" failed (2: No such file or directory), client: 109.8.208.5, server: localhost-nginx-proxy-manager, request: "GET /phpMyAdmin/index.php?lang=en HTTP/1.1", host: "186.104.67.127"
2022/06/01 03:31:31 [error] 7196#7196: *29664 open() "/var/www/html/administrator/web/index.php" failed (2: No such file or directory), client: 109.8.208.5, server: localhost-nginx-proxy-manager, request: "GET /administrator/web/index.php?lang=en HTTP/1.1", host: "186.104.67.127"
2022/06/01 03:31:31 [error] 7196#7196: *29664 open() "/var/www/html/database/index.php" failed (2: No such file or directory), client: 109.8.208.5, server: localhost-nginx-proxy-manager, request: "GET /database/index.php?lang=en HTTP/1.1", host: "186.104.67.127"
2022/06/01 03:31:31 [error] 7196#7196: *29664 open() "/var/www/html/phpmyadmin/index.php" failed (2: No such file or directory), client: 109.8.208.5, server: localhost-nginx-proxy-manager, request: "GET /phpmyadmin/index.php?lang=en HTTP/1.1", host: "186.104.67.127"
2022/06/01 03:31:31 [error] 7196#7196: *29664 open() "/var/www/html/mysql/pma/index.php" failed (2: No such file or directory), client: 109.8.208.5, server: localhost-nginx-proxy-manager, request: "GET /mysql/pma/index.php?lang=en HTTP/1.1", host: "186.104.67.127"
2022/06/01 03:31:32 [error] 7196#7196: *29664 open() "/var/www/html/sql/php-myadmin/index.php" failed (2: No such file or directory), client: 109.8.208.5, server: localhost-nginx-proxy-manager, request: "GET /sql/php-myadmin/index.php?lang=en HTTP/1.1", host: "186.104.67.127"
2022/06/01 03:31:32 [error] 7196#7196: *29664 open() "/var/www/html/administrator/pma/index.php" failed (2: No such file or directory), client: 109.8.208.5, server: localhost-nginx-proxy-manager, request: "GET /administrator/pma/index.php?lang=en HTTP/1.1", host: "186.104.67.127"
2022/06/01 03:31:32 [error] 7196#7196: *29664 open() "/var/www/html/program/index.php" failed (2: No such file or directory), client: 109.8.208.5, server: localhost-nginx-proxy-manager, request: "GET /program/index.php?lang=en HTTP/1.1", host: "186.104.67.127"
2022/06/01 03:31:32 [error] 7196#7196: *29664 open() "/var/www/html/phpMyAdmin4/index.php" failed (2: No such file or directory), client: 109.8.208.5, server: localhost-nginx-proxy-manager, request: "GET /phpMyAdmin4/index.php?lang=en HTTP/1.1", host: "186.104.67.127"
